kecamatan,kabupaten,search_keyword,year_found,publication_title,publication_url,pdf_download_url,pdf_filename,status,error_message
Takisung,Tanah Laut,Kecamatan Takisung Dalam Angka 2025,2025,Kecamatan Takisung Dalam Angka 2025,https://tanahlautkab.bps.go.id/id/publication/2025/09/26/5a5dc5b51d3e2fc482f99d22/kecamatan-takisung-dalam-angka-2025.html,https://web-api.bps.go.id/download.php?f=Snuee7XJ6dZPTJrQkNMznkJQdGpFcFE5ZzVRcVhxL1F6SE1tQjBIUHR0VjF3bnBFa3VvV0lsUDNNcy9PUWlMVjhFUFZzNEhodDhoQkVERjJGSnFPSlF4MXVLUG02M2RRQ3RMZ1ZCMkM5TGIxdEw5d20ya0p5azFXNi9za3pzbjB5TXVVclNST1hneDh5d3hqVDlFeDNHQTZidGF0NS9JYVFkL01nNjhnLzNRVDZvTGtkQ0d0d0FWVHc2bXJQUk9qV2MxZ0VXSU9JK0owbW5rRk04a2VscXE1cmNMWDVCN2hWM2lVMXlpRUlFM01udGJZWmJHOTcyOU15aStFS1gydjJiV0JpWlcyT3dGdnZETms=,Kec_Takisung_Dalam_Angka_2025.pdf,success,
Jorong,Tanah Laut,Jorong Dalam Angka 2025,2025,Kecamatan Jorong Dalam Angka 2025,https://tanahlautkab.bps.go.id/id/publication/2025/09/26/5136dda237dde266cb5606ee/kecamatan-jorong-dalam-angka-2025.html,https://web-api.bps.go.id/download.php?f=JuJW2PEp0MIJtMcNWRlw2k1nL1RLZ09ibzNwQWtnSHFVdGtHWC94bnRpcTZlL1pzb1VFd284bHY3Nmg3QWRnbTkxT0dqRGF4SG9UOXI5MDVBTFhSQTh4Ukh1V1RmbmNkR2RtZ3Z4YUZpbkdNVi9yOU5BVW5nMDQyWFJaOFpza2JLOUt3Y2F3cHMrdnpzc0RhY01remZJVUg4SjZnbExJUlhOVk9ETnVDclBMelNvNWdSS3VlU2s4ZzRHRHFrWXpZQXZRTkkrR0NlMzVubTFFdHlCOFNZUEhYT1hnMnRTYXVOU09pNmMxUFZOY1l1Y2tMdnJJamFPL3hqdlZyQnNxbkVENndIa295NmZaRXJ3dzQ=,Kec_Jorong_Dalam_Angka_2025.pdf,success,
Pelaihari,Tanah Laut,Kecamatan Pelaihari Dalam Angka,,,,,,not_found,No matching publication found
Kurau,Tanah Laut,Kecamatan Kurau Dalam Angka,,,,,,not_found,No matching publication found
Bati-Bati,Tanah Laut,Bati-Bati Dalam Angka 2024,2024,Kecamatan Bati-Bati dalam Angka 2024,https://tanahlautkab.bps.go.id/id/publication/2024/09/26/a6481970c3c487ba4e9eba16/kecamatan-bati-bati-dalam-angka-2024.html,https://web-api.bps.go.id/download.php?f=1Fvl1Sy9GfVUeW9cTE6+RmFHeUloUEZnWGNGVXpFd3daYUcxRy9YY0ZucFJ1eVV4S01DVzF2dURISVdNU2lscGR4TDREdy83b2x4Y1dyM0h6MXV0RCtJbS95YUUxbTNlSUJXNXRNWlNLR0grUHc3OWw0MmNxdUxjSzluTDhGUGxWdlYrSTcwU3pCMVkwYVpZeEorY29xT3oza0YvL09uakxMKytPYmpsdk8wejJxb1R4VDg2S3J6bDMySUJ4MTRlemUwYVdSbGp3OC94OFRuaWhjZFhxTXdHTUhteGpkblpacWFKQ0Jka1hBZ1pMOUYwZ2FkeUlBQVViWkFEajRNMk15THdvK1pCM0dHQzI5Szg=,Kec_Bati-Bati_Dalam_Angka_2024.pdf,success,
Panyipatan,Tanah Laut,Kecamatan Panyipatan Dalam Angka 2024,2024,Kecamatan Panyipatan dalam Angka 2024,https://tanahlautkab.bps.go.id/id/publication/2024/09/26/4e79b09890a83b970c3a7bfb/kecamatan-panyipatan-dalam-angka-2024.html,https://web-api.bps.go.id/download.php?f=WOG9atrOp2m4vhBkMJMFpWh4QzMycTVieHlGaWpWalNSSlBWazdyVVhrNGRlTkV4dWYzTXNNbnZsMlFxRzAvOEF2R0M5YjlnZjQ5K1ZvYUxrS2FPcmVVSkRtdHZ5K1JVZy9WQ0VQZTlsSk1YeHlBVW1QQXNhdUxjRzJwamwzWm1YUHFFdkpGUUxFUGNuKzJxejhTbDJCYVA5WVhoSFB0dkdwalEyd25RNHFmOUhlbkdxK1pWWHB3ZjkzaGdUYlgydEZyeVhRcEVmV0k5d1NDaUlDUkN3c1hxZzdZN3lnNE9IZHZPVUJRL3Z6V3Z3djVoWVhuTGxPaWlOUjVNdzJBdkljUW5YeTVLSk1rMWs0REU=,Kec_Panyipatan_Dalam_Angka_2024.pdf,success,
Kintap,Tanah Laut,Kecamatan Kintap Dalam Angka,,,,,,not_found,No matching publication found
Tambang Ulang,Tanah Laut,Kecamatan Tambang Ulang Dalam Angka 2025,2025,Kecamatan Tambang Ulang Dalam Angka 2025,https://tanahlautkab.bps.go.id/id/publication/2025/09/26/c6dc0bef861ac4000be276ee/kecamatan-tambang-ulang-dalam-angka-2025.html,https://web-api.bps.go.id/download.php?f=8hVtbQZNwPiGWVcldR44/VJTMUJVclJHbGtUS1ZZOUFxNWJ2WlVaZGhNYzJSeWt3SkM0SWlCbXo4RlBLN2xHTkd5NVlPWjNVcG16RzhKSENQTFFjOUtCdHJDcEk5REdKVklpVGRzMGVIWkR5TldEemwyMnN5cG1oZ085S2VYaUl1alZ4TGROdG5qR1hteWNTTjkzUzJ2NXdXbDdXTUxkeTdxbjIxQWtvUUxmYThOOXpDaGNtUnhTd0pPSXZyOFNBdmFvR1Z0Ym9yRDBKa1NLRGpCTmFjQnNkazRCL0dQUTlTeWVjNlE4QUgxZVNwMGJhb3VnMStXUFhQTTFWS29LZk9Ib2VLcjFZT1RnTHA4dkc3clJ5SnFzTzFDT2RCVWczeWJGMUhRPT0=,Kec_Tambang_Ulang_Dalam_Angka_2025.pdf,success,
Batu Ampar,Tanah Laut,Batu Ampar Dalam Angka 2025,2025,Kecamatan Batu Ampar Dalam Angka 2025,https://tanahlautkab.bps.go.id/id/publication/2025/09/26/b941cc03cc7a8693ae10ab4d/kecamatan-batu-ampar-dalam-angka-2025.html,https://web-api.bps.go.id/download.php?f=pXPXKLSHNSqYFIcZdspYKGhSMURsSndqcDc3SW5XR0VRSXpvUmRPMUQ5VGZZK05OMXpTRHh5dWtTVjNPdVNwTTMwSTY2VkVjV29EYWZhMlM3aStkSmtwUHRMaXBqc0VLM0hDa0Q3cGtqWUJsdlRpZk8vdHNQblJNVGRxT1FrMUh2Z3g2Z1o2OVVRTE1McnFHbmpQSUtVbUhVKzVTZ2U0anZqRWFVbERaMUVvUnZiT1gxdnVNMkdidjZaTzJHSWREV004QTVneWtNQ2dmeHQ2YVdUQmZqelJaQVFvN2RKU0VLTk5HRGQ5Rng0MTQ3UHB1c3Q5NGdKekk0QWI0VjhBay9peHJ4VmRYOGswTmlyZnA=,Kec_Batu_Ampar_Dalam_Angka_2025.pdf,success,
Bajuin,Tanah Laut,Kecamatan Bajuin Dalam Angka 2025,2025,Kecamatan Bajuin Dalam Angka 2025,https://tanahlautkab.bps.go.id/id/publication/2025/09/26/ff2ba0cdd6dfd4dc6b85acfa/kecamatan-bajuin-dalam-angka-2025.html,https://web-api.bps.go.id/download.php?f=UCKvbt1l62PRTcMdrfoVHDRMeHJKM2xOeis2bnFta2kvR0M4K1RBTjBIUmsrUUdGNDMzRDErVHhEM3gyeFNBblFmYVY2KyttOEdkWnVlZzVxMzZQVzJQaUh4WDVJVWFzck9KcHFPM2psdzF3Y1lUU240eDlzcUJQSGlLRjVqQjRMU0loY3JGdlRwRGh2UnlqMlo4aFJGVFQ4SktIemJ1SCs0TnF6YWphZ1lOV3d6N1Q3cWdGczhVZWsxNnRaY2lFUGZHSWxkNVRRWGM4eU50U3JWUEdRZitMcjllSVBIdlFiTzN4UnZtVjRwVlFTQitSL3pMMHFzTExtcHJybWpRUzM5bEI5QUVOMDJxajNDN0w=,Kec_Bajuin_Dalam_Angka_2025.pdf,success,
Bumi Makmur,Tanah Laut,Kecamatan Bumi Makmur Dalam Angka 2025,2025,Kecamatan Bumi Makmur Dalam Angka 2025,https://tanahlautkab.bps.go.id/id/publication/2025/09/26/eb93beef1202b78c7d11f22c/kecamatan-bumi-makmur-dalam-angka-2025.html,https://web-api.bps.go.id/download.php?f=VnZtcf6J7MBt4DtaRneAxHNVdG9hUEVUcmM1Q0I4c0ltNGlFMXRlU2QwZG41RU5WQ3FRT1JwZzJsWkxYeGhzMVhyZzR3SE5ITkl1K25UeC9uWkRrZUJ3aWZkWno5ZlQwK0RWa0lUanpvWHpTU1ZFNUhUelpXbEx4TFJkOG9tTzZUdzhvS21GQUZmY3ZQbTB4UWJzYkQ5Wit0Ukd6YS9yV0RkaDVkSHpadXlEYVZ5NmFNSXZqaEV5ZVBwMkkrK1hiMlNlUUpHZUsrQVZDVHVqMHc2RWcyRzZreGFxWWRhSlZrZ1ZoTjhOUXJVNnFVLzR6WUlvVGpWZWtQeTF5eE9KRmlYKzZlaTVQck0yODZ5TVY=,Kec_Bumi_Makmur_Dalam_Angka_2025.pdf,success,
Pulau Sembilan,Kota Baru,Pulau Sembilan Dalam Angka 2023,2023,Kecamatan Pulau Sembilan Dalam Angka 2023,https://kotabarukab.bps.go.id/id/publication/2023/09/26/f9ad10be5843ba281937db55/kecamatan-pulau-sembilan-dalam-angka-2023.html,https://web-api.bps.go.id/download.php?f=aMtQDXr6IGSuvvXK9lQcUUtQa28zNVhBcDBtazh2aUhTZmFWbGt0U2pwWFJUT2JaR1RrQTU4a2lxWjVscGZtOTdPSmhiQkpHZkRnU3VpNmdTemhYRjlkSEJTT25KeFJoVGRhTlZXeTVOSVp3cGZZOENRazg0bEhqcWx1YXR1UlhaSWt1MC95WEs5eENxTmpTL2g2NVM3Z2diRy9iOW8zekl2Z0ExY0VIcGl3ZjRBNkVhTWhWVkljaHMxLytPelQxZldMM3VyOE5yRUo1OG4xdXVBV2grRXh6Y3pGelRQclpHeWNzV1d3NXJsa3hiSHRnVUxheno1REVwV2ZONGMyOFFDQ0svL3FBVi96bjdlVGQrTUE1akNkUmtZbkRLejlpaVJFeER3PT0=,Kec_Pulau_Sembilan_Dalam_Angka_2023.pdf,success,
Pulau Laut Barat,Kota Baru,Pulau Laut Barat Dalam Angka 2025,2025,Kecamatan Pulau Laut Barat Dalam Angka 2025,https://kotabarukab.bps.go.id/id/publication/2025/09/26/fd6fb01b7a09228d6677bcaa/kecamatan-pulau-laut-barat-dalam-angka-2025.html,https://web-api.bps.go.id/download.php?f=WDKmRjIzJZBIRDgq8uONwnN5QkM2T2tsZE8wVFBPWlJaTmhOWFE5aVlsSWt1TW5iT3ZXbk03T2ZxVDNnUllGTldTeUczUzRObHlIM2FkUUQ3VStsTm10MGJmSjNnZXVoRExkWTFHTlFCcWpRYVZ2cjdkM2NBbG41aTV2MHVRYVJiRU5PWS9kcGFqZmxsRmtaTVdlQzg0dE4wTVI3a3kybWNma0VVdlBUSjFldFFpMlgzVFZ1YTlIZzlnWklKUGhaZGV1QTN1ZnE2RTBEMjQ4ZXkzN0ZJQ0ZFUDkyZVR3R2pDZGV3NGltK05YNGFyWTgwcHNZVlVEUytaNVJuSThZRjRVY1I4Q3RHc3NnenBSMWFucDdOVjlleEhyMGZQNFJCcnhzQ3h3PT0=,Kec_Pulau_Laut_Barat_Dalam_Angka_2025.pdf,success,
Pulau Laut Selatan,Kota Baru,Kecamatan Pulau Laut Selatan Dalam Angka 2024,2024,Kecamatan Pulau Laut Selatan Dalam Angka 2024,https://kotabarukab.bps.go.id/id/publication/2024/09/26/cd76d7e927f67825ff1ea792/kecamatan-pulau-laut-selatan-dalam-angka-2024.html,https://web-api.bps.go.id/download.php?f=fuGREOtFg1MIBkiMxT+bNDdicnFpek15VVZkNTNXTzBza1FBTUdGVmtKU3RWZmFzejBEb1c2d0VIckZVdTY0UWZCNDRZdDYxbWlsMnRkSVdDWDhxbEUxYnhhSHhOTi9hYjNESzlNMUs1anlYME54MWtlNXp1RHhqRlJyZ1d4MG5tQUgyMlNZaDNGUTAxVjE5TG04ZkVoVUl2NG5aeUhpVVRJeXpLZ1JjZ09HdUFDM01mM2JkT3NqQk11VVJEVy9HM2VqdGZnTEw0ZmQyUTF1OHZNdjFGbVptVHFnTzFWeEJ0TDh4cE1pNEUwczRHQW9DcXlZV3FtaEZuaVVLd3dHa1BtSHhKemdLSzB3dFB3TzIyZE5BUjBpeWZJcTZDb005a2hWYW93PT0=,Kec_Pulau_Laut_Selatan_Dalam_Angka_2024.pdf,success,
Pulau Laut Timur,Kota Baru,Kecamatan Pulau Laut Timur Dalam Angka 2025,2025,Kecamatan Pulau Laut Timur Dalam Angka 2025,https://kotabarukab.bps.go.id/id/publication/2025/09/26/f89b80ebbec5fde790715b60/kecamatan-pulau-laut-timur-dalam-angka-2025.html,https://web-api.bps.go.id/download.php?f=sVGLnWb9lLVLYcTcFjzFA0JwdDF5TnZkNFlha2tsUCs5VzVob3hFR1ZzY21Ccm9CNTZaOEhYeWRkeEZ3dVZHaGVGN0MvckdkbGJaNmNUa0JNWSszRG5PYy9CVGJXVnZQSWppREw2bHBzZTdvakZCdEJxRVBibjB1UEN1UlovNXU3TndEZmltUHFjZlJtMGxhcVpMQUpoeDlnTGNYU3Bnei9PU0NVQVdEMlJRRUdIWWptZ1B0anlHNHA1L2JFcDkzelRZZFJ2d3VIUWdoN0NsUjlYQ3pwUE9wTDkwVmhYamZ3RnFnYS9ZbTlGQ2N0SjFPNkthRW93N0duUFViQldyaC9ySXdvamc1RWNEUnc4a3MrRUdtOGlNSlZDWjlUVmY2ZWFxRDVnPT0=,Kec_Pulau_Laut_Timur_Dalam_Angka_2025.pdf,success,
Pulau Sebuku,Kota Baru,Kecamatan Pulau Sebuku Dalam Angka,,,,,,not_found,No matching publication found
Pulau Laut Utara,Kota Baru,Kecamatan Pulau Laut Utara Dalam Angka,,,,,,not_found,No matching publication found
Kelumpang Selatan,Kota Baru,Kecamatan Kelumpang Selatan Dalam Angka 2025,2025,Kecamatan Kelumpang Selatan Dalam Angka 2025,https://kotabarukab.bps.go.id/id/publication/2025/09/26/7225f51ff3fc978ac25764a9/kecamatan-kelumpang-selatan-dalam-angka-2025.html,https://web-api.bps.go.id/download.php?f=B6OOE0Vll3wNP3aQoIGD9ExyZFlnRGpXNnA5Tk9KMTNwRHJGSUNZbGdwdTlETkpYSzRpRUR6VzhLU3VSN3BJNVNnVDBaUU9XSEs1SmNnazRKV1NkZWJjOXZTUmhwQ2E2V0RDOXN0UnRZczkrSEFBaC9FSW1KVXQ5VzVJazJrQ1FzT3BrZkE3cVFmZEwyT2R2STBOZnA1MzJKRkc5SkVhVVppL0V3cUI4WXJlZGR4QlJIYWExYUkvTVlhMUEzWmxucm51dlJxVFdoZFdZUldSY1ltQ3BEV0x0MU5QYWNWcHlCOXpDb3NqZ01mM0hFWEQ0SEhYT3R5TGsxYzVUcUVMeUwrUnZ6OGZkbllJL3JZNElqaVJmcmVuZEtXSTF2SHNuTzdLRTNRPT0=,Kec_Kelumpang_Selatan_Dalam_Angka_2025.pdf,success,
Kelumpang Hulu,Kota Baru,Kelumpang Hulu Dalam Angka 2024,2024,Kecamatan Kelumpang Hulu Dalam Angka 2024,https://kotabarukab.bps.go.id/id/publication/2024/09/26/e7cf3d2858a2909fc436c90a/kecamatan-kelumpang-hulu-dalam-angka-2024.html,https://web-api.bps.go.id/download.php?f=i0/yN/BWJ+ssjX0NFWOAiHNLVVBDSlBYQzhNOEpJUzUweStJc3drTnN3Q1h6RFFxaWJqT1ZSbU14RFBLMU5aWlNGN2s1aXFkL0NmUnNTVzdEWlk3bS9RT0E4RklTS3FYYlBTYnMzWElqcmh6RnJ2OTFqbjVqdWE0Uit5K2FKa1lsc3pwZDVab0RJZWtneEI3TXpPOXhpWDBhVmJheWFxQVNhdmcwWndZUmZhOHdaMmlsLzJDRUdKaHAxeTVMWTFLSVBYdnpvL2FsaG9NQU8rQjE2alp3STBoQkNMTjlJb3NnZVU3Szc2TFVNVlFncDZpajd6VUJ2VWN3aWhPcnNUekxVa0NkNFd1UUxOdTRUNmxjeXlaa3R1dmhPK3l5eTNTMUxQWnB3PT0=,Kec_Kelumpang_Hulu_Dalam_Angka_2024.pdf,success,
Kelumpang Tengah,Kota Baru,Kelumpang Tengah Dalam Angka 2025,2025,Kecamatan Kelumpang Tengah Dalam Angka 2025,https://kotabarukab.bps.go.id/id/publication/2025/09/26/93dcd4eee8e43caf3e7fd67b/kecamatan-kelumpang-tengah-dalam-angka-2025.html,https://web-api.bps.go.id/download.php?f=Y9mPmKj6YZ8E5eo5a+gjD1luMmdTcmQrRitWbmJRL1Z6UmpkbEFyOXA3eVVLKzJUdk9Id3FEcXV6MXZQczQvNUVyMHh6YzNYc3lXcEZ1ZXYzb1IwTkpRSXc3dTB0aGFuSDk2YnBmZmZ0U0lzTnJBK1BnelBHUFk3T1hVM3g4UWk2SHRsYzd5OFhPTlJpNUx4VTQ0NTBab05YSHg4M0crb0MzclpRb1FIUnBhcFNaNGZOK3Q2RXlxd25PcE1YV1FieWJ5dHJXM0NVTG5Ja0ZnUDFxV1BxQStkaXA2d1hURGUzU2xwRlFZazd0QmxLSWZHU1V4bjdNNnh0a3htaGpXOVhDL1JhMjFpdTZzTVJQeXdlaUV0eWplczFLVW1Qb3VwQWNZN29RPT0=,Kec_Kelumpang_Tengah_Dalam_Angka_2025.pdf,success,
Kelumpang Utara,Kota Baru,Kecamatan Kelumpang Utara Dalam Angka 2025,2025,Kecamatan Kelumpang Utara Dalam Angka 2025,https://kotabarukab.bps.go.id/id/publication/2025/09/26/22d6655de9fdad9ae150243d/kecamatan-kelumpang-utara-dalam-angka-2025.html,https://web-api.bps.go.id/download.php?f=8Or7dk7+zKaN2GTQt0TijXI5ZXM1aW5aL2ZhWXYzcDRWdXEzR1oyemN4anlXR20zeGtRZzBuazdEYy82UWg0d1kzUzcyMEpiUGF0UmxXRHpkOE0xMjZHd212WXF1NmZSOWxXOVVYMThUYzZLTGk1OWxZNDR0RkhnYXRlaFBFZUMwU3kxRlh1aUFKRFdxYkhmaEFQTDFXaVQ2ZDVWekQ1aGgrOXRLdXplUm9jMnYxNlk2Ykh5bXhuNVVLeDFJcU9ucE1STDZ5cktvQnRmaWFIZStrbS9BU0NmRHRyZWtKOUxkUlhlSG5scWlzQkU1M1B3Qitwa09OYkU2djhpWmpLU2lCUmZhK3JIa0FhbGdyWEYwOXhLakpta1pqcUlJUE51a1hKVkJBPT0=,Kec_Kelumpang_Utara_Dalam_Angka_2025.pdf,success,
Pamukan Selatan,Kota Baru,Pamukan Selatan Dalam Angka 2025,2025,Kecamatan Pamukan Selatan Dalam Angka 2025,https://kotabarukab.bps.go.id/id/publication/2025/09/26/7825b77885045624bc663899/kecamatan-pamukan-selatan-dalam-angka-2025.html,https://web-api.bps.go.id/download.php?f=8NL7QoZXu+dCueSyqa4qqkxick1KVmtqblB3OTAwOFo3RFkycE5LQ0pXV3Z0NGd6UWtobURYb0x0bSttYll2eGZZWkUzTmhWSlJ6VU1xRDQycGxsVGFvUkZyN0RkdHRlemxFc0pvR0t1MTJ4aFhDZFg5U3lvUDk1L2JDWUZiMU9jQXlhUVBJTlFVNU82WGNOVVBWeXdGbWdad0VCNmttQjhxbzdYOU8xY0VqQ0R0eTFDWUg1b3ZGR3ZlNWQ3TXdUQzB4OG83R0xESkZQVkY4TDVWODlVb29ZdlhiQjJ5YkhaN3dkZHpuclo5djFQeTZrajQ5NzA2UUN4MjlMOGxhMWR2N3lhL0owYjk0RG5Yb0FIRkJLZ1FSL0xtakVvV05SUkFpb3lnPT0=,Kec_Pamukan_Selatan_Dalam_Angka_2025.pdf,success,
Sampanahan,Kota Baru,Sampanahan Dalam Angka 2024,2024,Kecamatan Sampanahan Dalam Angka 2024,https://kotabarukab.bps.go.id/id/publication/2024/09/26/0fcc8e21cca0e92d420191bb/kecamatan-sampanahan-dalam-angka-2024.html,https://web-api.bps.go.id/download.php?f=JKdfffERzQEG1wrGvliX/kFzSkdNUEViZUtrNHZHaFhKcUpNajlEZ2VhdHc0b2FBeWpsandXMFI3T0Q1bkJHOTY3ZCtqc2tlc0hFbUxSS25XZUFrTmp4NURNdjJpSHpoazRKWCtsWjgrbyticHY0cmRRV3FUVTNCWTBwSHdHWDY2SzlhVEFHckxLTmNVU2gzczJjUm1UcHdud3VmUy9SUkIzSk9VaGFjaG5zSGlrNllFUWVaamphU1FQQStpL0FnRXBqZGExK01zR2RLOE9aRjBKdmNOSWI5ZkovZWFPQ09LbWUyV1R6Mk9VNERhNFI2ejFsQU1FWmtma3cwRDVVK2swTGhkNWR0SkFHWDVGMkI=,Kec_Sampanahan_Dalam_Angka_2024.pdf,success,
Pamukan Utara,Kota Baru,Pamukan Utara Dalam Angka 2024,2024,Kecamatan Pamukan Utara Dalam Angka 2024,https://kotabarukab.bps.go.id/id/publication/2024/09/26/b567f877df7840f9da874761/kecamatan-pamukan-utara-dalam-angka-2024.html,https://web-api.bps.go.id/download.php?f=iGqlokq539GLshzzYSiA52w1K2wzcm15TU5xOHYrNFFhc2RkS3ZuL0tpSWsxOXFoRjg1Ni9abXd4NFFPRTNtcG9BVUp3WVJxamhuc21Bd0k1SEl5UEZDQXE5eDI3TWYyTjlQMTBKQmY0MWJNcDM1clBXTnBHK3hPUFY5bVViVS9vQTZvVU5iVkxubDIzTUl3VENwNStLN2c5c2VpYkZGQUpOeVdOdzIxb3BKRmlqMTdEUVlGUFpUVmhQc2h0QU5vYnF3NisvSHdodExPMmUxV0ZnYUo3Z1I2REt2S1lMbHZSVFljd3JhUlNDdDMxMmpyMXpOTnI1VFNYYW5xQkQ4MVZnS252STc4M2Y0ek9SWm52c0lKdWxiRUwxMlgwREJCc1JrZGxBPT0=,Kec_Pamukan_Utara_Dalam_Angka_2024.pdf,success,
